epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.811,1.71331,5.25276,1.80087,0.76737,0.74593,0.80222,0.43147,1.54274,3.30438,1.66956,0.00331034,0.00331034,0.00331034
2,457.295,1.47418,2.59286,1.49274,0.8822,0.86983,0.91511,0.50236,1.48939,1.21241,1.59288,0.00662175,0.00662175,0.00662175
3,644.771,1.4837,1.61158,1.49361,0.63353,0.44445,0.59702,0.31506,1.69191,2.54811,1.82726,0.00991116,0.00991116,0.00991116
4,828.767,1.5102,1.29105,1.51941,0.85377,0.83087,0.85091,0.45078,1.6833,1.29518,1.81601,0.009901,0.009901,0.009901
5,1003.15,1.48447,1.12334,1.49854,0.86335,0.89494,0.91399,0.50291,1.50913,1.07789,1.62358,0.009868,0.009868,0.009868
6,1176.24,1.46782,1.03523,1.48429,0.87746,0.89242,0.91946,0.50256,1.49343,1.12009,1.63463,0.009835,0.009835,0.009835
7,1350.47,1.44263,0.98072,1.47474,0.89657,0.89842,0.93461,0.53505,1.47139,0.94604,1.59821,0.009802,0.009802,0.009802
8,1524.56,1.40998,0.93098,1.44928,0.91812,0.93848,0.95173,0.55866,1.51544,0.85841,1.62468,0.009769,0.009769,0.009769
9,1698.68,1.39126,0.89128,1.43696,0.93889,0.93544,0.95041,0.55079,1.50463,0.8576,1.67249,0.009736,0.009736,0.009736
10,1870.93,1.40219,0.87689,1.44344,0.89137,0.93909,0.93665,0.56582,1.42871,0.81612,1.57125,0.009703,0.009703,0.009703
11,2043.38,1.38312,0.85649,1.43431,0.94757,0.95881,0.97295,0.58884,1.40676,0.732,1.56719,0.00967,0.00967,0.00967
12,2216.21,1.38297,0.83959,1.43213,0.92887,0.95113,0.96034,0.56472,1.4546,0.77555,1.61992,0.009637,0.009637,0.009637
13,2389.41,1.36653,0.82329,1.41937,0.92611,0.94252,0.96739,0.57035,1.43827,0.76303,1.62096,0.009604,0.009604,0.009604
14,2562.15,1.3591,0.80877,1.42395,0.93879,0.95767,0.96864,0.57418,1.41233,0.77822,1.58665,0.009571,0.009571,0.009571
15,2736.12,1.33982,0.80739,1.41137,0.92124,0.96029,0.96791,0.58266,1.39652,0.70135,1.57001,0.009538,0.009538,0.009538
16,2909.65,1.33642,0.78014,1.40309,0.93939,0.97512,0.98016,0.57856,1.44909,0.70587,1.60296,0.009505,0.009505,0.009505
